timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,orientation_qx,orientation_qy,orientation_qz,orientation_qw
67887939,0.1418364650221541,0.2096352686047554,-0.1016840124517679,0.1542515307664871,-0.1324500143527984,-0.2953291833400726,-19.10028839111328,-41.481178283691406,-33.77130126953125,-0.1366981781636695,-0.3305489869965181,-0.881551205091283,-0.308088467022963
77962158,-0.11067757584434,0.1646820281565189,-0.0143172791659832,0.1537838876247406,0.0144094731658697,-0.3647636473178863,-19.033248901367188,-41.78802490234375,-33.80145263671875,-0.1366423984757729,-0.3313805321462029,-0.8807325677190155,-0.3095577484384278
88035888,-0.2350061854982748,0.0766547851353883,0.1007365024685859,0.1274174302816391,0.1467498838901519,-0.417154997587204,-18.96575164794922,-41.91927337646485,-33.7718505859375,-0.1358344431797697,-0.3324145999063017,-0.8799379236593249,-0.3110608475065466
98110107,-0.3599238105539232,-0.0312374343067407,0.1078098018556833,0.0885773599147796,0.2053769826889038,-0.4246896207332611,-18.442481994628903,-42.570457458496094,-33.59063720703125,-0.1344874527175594,-0.333473948275285,-0.8792128971321811,-0.3125587939693512
108183837,-0.2895742447762749,-0.0416050990641117,0.0278594823062419,0.0371778383851051,0.1861535310745239,-0.3874934017658233,-18.683494567871094,-42.70187377929688,-33.852294921875,-0.1330171623654462,-0.3343518353500593,-0.8785933974080022,-0.3139887073252035
118258056,-0.1567796027352102,0.0281055660218,-0.0041413375884294,-0.0083078853785991,0.0935932397842407,-0.353641152381897,-18.240020751953125,-42.71863555908203,-33.61859130859375,-0.1317670133534511,-0.3348790091628004,-0.8780825385131008,-0.3153801152556274
128332275,-0.1560229574153199,0.0081546648830175,-0.1513467457652091,-0.018137639388442,-0.0418043583631515,-0.3147237300872803,-17.968734741210938,-42.76358795166016,-33.932373046875,-0.1310658572157343,-0.3350828996948789,-0.8775830169226992,-0.3168426794214706
138406005,0.0602466163710691,0.0437672455340623,-0.2274889052033424,-0.0252805035561323,-0.1604969203472137,-0.2693996429443359,-17.899215698242188,-42.98566436767578,-33.84564208984375,-0.1309963449611056,-0.3350171600450358,-0.8770837585174204,-0.3183200507190416
148480224,0.2564426307533867,0.2160275999903678,-0.0953705915212631,-0.0351239591836929,-0.2341434061527252,-0.2158147692680359,-18.006874084472656,-42.99324035644531,-33.84490966796875,-0.1314219046699315,-0.3347260575120973,-0.8766106736595487,-0.3197509126688523
158553955,0.2602024582109414,0.3212479698747396,-0.0012859481573104,-0.0414441749453544,-0.2083765268325805,-0.1983843892812729,-18.02611541748047,-43.04078674316406,-33.913330078125,-0.1320176945201861,-0.3343232480341356,-0.8761985207786084,-0.321053565170515
168628173,-0.0368924095948226,0.271535552200675,0.0295282923012971,-0.0310502108186483,-0.1434751898050308,-0.2284975051879882,-17.82562255859375,-42.75273895263672,-34.15997314453125,-0.1323822627614986,-0.334020042016322,-0.8757971381714047,-0.3223119004069852
178701904,-0.2098048895506188,0.1794213321268558,-0.1504500891864299,0.0042292173020541,-0.1069113165140152,-0.2713365852832794,-17.77440643310547,-42.96205139160156,-33.985595703125,-0.1324770546815858,-0.3339226354986873,-0.8753351261350477,-0.3236260682116141
188775146,-0.2445798138011246,0.0358440513193607,-0.3383580946296453,0.0907683968544006,-0.1736980825662613,-0.3255961537361145,-17.62895965576172,-43.03857421875,-34.079345703125,-0.1326293951720161,-0.3340991999124851,-0.8746852167354354,-0.325135137480392
198849121,-0.142903527998086,-0.0256745394825935,-0.6048287646561861,0.2199418246746063,-0.3498590290546417,-0.3745482563972473,-17.736572265625,-43.371124267578125,-33.6195068359375,-0.1334267841237404,-0.334600828691762,-0.8736680793118566,-0.3270223854150837
208923095,0.0729524782850407,0.0345949280411005,-0.7148316926419734,0.3262462615966797,-0.5631965398788452,-0.4337738454341888,-17.701309204101562,-43.49205780029297,-33.8385009765625,-0.1352018657191767,-0.3353368311793948,-0.8722259584063354,-0.3293804035148224
218997070,0.1358456636421382,0.0714309130072593,-0.4541185632288456,0.3712686002254486,-0.7731156945228577,-0.5225250124931335,-17.589614868164062,-43.65827178955078,-33.3775634765625,-0.1379151589920133,-0.3361046629661814,-0.8703734387870233,-0.3323598388868682
229071044,0.0091127327928319,0.1792372077316045,-0.041136312508583,0.3482069075107574,-0.9319763779640198,-0.6264176368713379,-17.608078002929688,-43.46626281738281,-33.06402587890625,-0.1412884925817264,-0.336667844508962,-0.8681872296676674,-0.3360705375400333
239144775,-0.2492192188384942,0.3636959495037793,0.4961147074371576,0.2762972712516784,-1.0623692274093628,-0.6682324409484863,-17.725067138671875,-43.2562255859375,-32.8646240234375,-0.1450796598805148,-0.3368191234318269,-0.8658219973265242,-0.3403778944955725
249219238,-0.3060119136297143,0.4863754037111997,0.8024135299831628,0.1693079769611358,-1.1507585048675537,-0.6206279993057251,-17.787132263183594,-43.93619537353516,-33.21221923828125,-0.1492053522543668,-0.3363649310335969,-0.8634946268194784,-0.3449253236593757
259292968,-0.0551873054211959,0.532397734695673,1.0640613098978997,0.0359650999307632,-1.1853361129760742,-0.5263318419456482,-17.851089477539062,-44.11717987060547,-33.12713623046875,-0.1534868890249561,-0.3352128599394731,-0.8614255275183965,-0.3493140879588604
269367187,0.0394680139701813,0.5498924748539924,1.2177198397368192,-0.1043273210525512,-1.182032823562622,-0.4555630087852478,-18.15465545654297,-44.28939056396485,-33.0654296875,-0.1577507161653747,-0.3333434850323609,-0.8596926223982766,-0.3534480191417359
279440917,-0.0093641502706334,0.5336527031928301,1.1722189022779463,-0.2357756346464157,-1.121356725692749,-0.4606104791164398,-18.505844116210938,-44.25336456298828,-32.27032470703125,-0.1616699212246583,-0.330908356662828,-0.8582364831117426,-0.3574808694066648
289515136,-0.0797697388181462,0.4505027108192443,0.9662328038305044,-0.350992739200592,-1.072448492050171,-0.5252344608306885,-18.95160675048828,-44.34356689453125,-32.0511474609375,-0.1650501734071559,-0.3280697080259821,-0.8569324709339204,-0.3616564155907127
299589111,-0.054319180817157,0.3569423835903406,0.6942384019464254,-0.4320423305034637,-1.049741506576538,-0.6048680543899536,-18.83802795410156,-44.417877197265625,-32.431640625,-0.1679863861349591,-0.324897616616693,-0.8556553251706746,-0.366164074620841
309662841,-0.0569302766310051,0.2147825683653354,0.7254290745019912,-0.4903781116008758,-0.998313009738922,-0.7106780409812927,-19.094383239746094,-44.502418518066406,-32.522705078125,-0.1704782362000113,-0.3215697209592263,-0.8543161223100615,-0.3710446463619293
319737304,0.0253930921927094,0.2591945415437221,0.9922247386991976,-0.5505335927009583,-0.9253038167953492,-0.8344535231590271,-19.053375244140625,-44.209869384765625,-32.72528076171875,-0.1723978823403651,-0.3181802155519752,-0.8528704750095076,-0.376367359103121
329811035,0.0644533656122162,0.4934902041524648,1.3440496331453322,-0.5807340145111084,-0.7803560495376587,-0.9132551550865172,-19.31510162353516,-44.06532287597656,-32.533447265625,-0.1734885847964431,-0.3149310342813254,-0.851470844307544,-0.3817298026574472
339885253,0.184847339230962,0.5519032301545143,1.6183376989245413,-0.5638533234596252,-0.5729491114616394,-0.9000810384750366,-19.241233825683597,-44.05766296386719,-32.826416015625,-0.1737471882474299,-0.3120008355529086,-0.8501385955876672,-0.3869520304967405
349958984,0.3949962929788976,0.3117985890060663,1.5705536189645528,-0.502197802066803,-0.3324289917945862,-0.7692365646362305,-19.21378326416016,-43.98101806640625,-33.2064208984375,-0.1731964794460839,-0.3096244475086063,-0.849080191076529,-0.3914058565528226
360032958,0.4456981600817292,-0.0778945560634136,1.2660522012293338,-0.4184652864933014,-0.1507641077041626,-0.545041561126709,-18.97052001953125,-43.760780334472656,-32.81597900390625,-0.1721490478263139,-0.307824543033965,-0.8484207171102741,-0.3947036736447822
370106201,0.3318272680887952,-0.4539245019614696,0.7543354355126619,-0.3417437374591827,-0.0502677410840988,-0.2916533946990967,-18.298545837402344,-43.51694488525391,-33.67730712890625,-0.17093330480565,-0.3065128642605718,-0.8483974438350305,-0.3962996958897599
380180175,0.1688479887295514,-0.7876222035646439,0.3684592183828353,-0.3748015761375427,0.0099929375573992,-0.2034748196601867,-18.09680938720703,-43.12904357910156,-33.82275390625,-0.1698244943324504,-0.305244071271372,-0.848623873080217,-0.3972696096997463
390253906,-0.0128644865417852,-0.5646235955178738,0.2985182516723871,-0.4449293315410614,0.0828927755355835,-0.2194650620222091,-18.1893310546875,-43.14988708496094,-34.09942626953125,-0.16833039421557,-0.303836457957826,-0.8490607167195593,-0.3980503961139116
400328125,-0.2162174965392798,-0.1670972726047039,0.3674567633420229,-0.4711606800556183,0.1011356934905052,-0.2586846053600311,-18.107696533203125,-43.385101318359375,-34.86688232421875,-0.1666248542006573,-0.3022525908696648,-0.8493646090348177,-0.3993234917395015
410401855,-0.240569774442166,-0.0081862290650606,0.2434545360982418,-0.4137605130672455,0.0520826615393161,-0.2706331610679626,-17.93480682373047,-43.469337463378906,-35.05841064453125,-0.1649857897493782,-0.3007206417821297,-0.8495719391950776,-0.4007171767921673
420476074,-0.1997720462381839,-0.0480278255879879,0.1463484990864992,-0.3027170896530151,-0.0131051279604434,-0.2699234187602997,-17.85407257080078,-43.43112182617188,-35.21441650390625,-0.1637719095481711,-0.2994398138875592,-0.8495876086616684,-0.4021387098618137
